utc,symbol
2026-04-24T07:15:00+00:00,ESPUSDT
2026-04-24T09:00:00+00:00,PENGUUSDT
2026-04-24T10:15:00+00:00,KATUSDT
2026-04-24T10:15:00+00:00,ZKPUSDT
2026-04-24T11:15:00+00:00,AIUSDT
2026-04-24T11:30:00+00:00,ENSUSDT
2026-04-24T11:45:00+00:00,SKRUSDT
2026-04-24T11:45:00+00:00,WLFIUSDT
2026-04-24T14:15:00+00:00,BIRBUSDT
2026-04-24T14:15:00+00:00,TREEUSDT
2026-04-24T14:45:00+00:00,KATUSDT
2026-04-24T15:00:00+00:00,BSBUSDT
2026-04-24T15:15:00+00:00,TRXUSDT
2026-04-24T15:45:00+00:00,VANAUSDT
2026-04-24T17:00:00+00:00,SKRUSDT
2026-04-24T18:00:00+00:00,ENSUSDT
2026-04-24T18:00:00+00:00,TRUMPUSDT
2026-04-24T18:00:00+00:00,WUSDT
2026-04-24T18:30:00+00:00,ZBTUSDT
2026-04-24T18:45:00+00:00,KATUSDT
2026-04-24T21:15:00+00:00,MEUSDT
2026-04-24T21:45:00+00:00,SKRUSDT
2026-04-24T22:30:00+00:00,HBARUSDT
2026-04-24T22:30:00+00:00,TRUMPUSDT
2026-04-24T22:45:00+00:00,KATUSDT
2026-04-24T22:45:00+00:00,ZBTUSDT
2026-04-25T00:00:00+00:00,ELSAUSDT
2026-04-25T00:00:00+00:00,ZAMAUSDT
2026-04-25T00:00:00+00:00,ZKPUSDT
2026-04-25T00:15:00+00:00,SOONUSDT
2026-04-25T00:30:00+00:00,RVNUSDT
2026-04-25T00:30:00+00:00,WUSDT
2026-04-25T01:45:00+00:00,SOPHUSDT
2026-04-25T03:30:00+00:00,BIGTIMEUSDT
2026-04-25T03:45:00+00:00,AXSUSDT
2026-04-25T04:00:00+00:00,BSBUSDT
2026-04-25T04:30:00+00:00,HYPERUSDT
2026-04-25T06:15:00+00:00,SANDUSDT
2026-04-25T06:45:00+00:00,AWEUSDT
2026-04-25T06:45:00+00:00,WUSDT
2026-04-25T07:45:00+00:00,BIGTIMEUSDT
