utc,cluster_size,btc_ret15,symbols
2026-04-26T05:30:00+00:00,1,-0.00061,ZBTUSDT
2026-04-26T07:15:00+00:00,1,-0.00013,BSBUSDT
2026-04-26T07:45:00+00:00,1,0.00162,INJUSDT
2026-04-26T09:15:00+00:00,1,-2e-05,JTOUSDT
2026-04-26T09:45:00+00:00,1,0.00051,ZBTUSDT
2026-04-26T10:45:00+00:00,1,0.0002,RENDERUSDT
2026-04-26T12:15:00+00:00,1,2e-05,AEROUSDT
2026-04-26T13:45:00+00:00,1,-0.00013,LDOUSDT
2026-04-26T14:45:00+00:00,1,0.00048,ZBTUSDT
2026-04-26T15:30:00+00:00,1,-0.00067,ETHFIUSDT
2026-04-26T16:30:00+00:00,1,-0.00065,XMRUSDT
2026-04-26T18:00:00+00:00,1,0.00111,GWEIUSDT
2026-04-26T18:30:00+00:00,1,0.0004,LDOUSDT
2026-04-26T19:00:00+00:00,1,0.00156,ZBTUSDT
2026-04-26T20:45:00+00:00,1,-0.00122,INJUSDT
2026-04-26T23:30:00+00:00,1,0.00578,ZBTUSDT
2026-04-26T23:45:00+00:00,1,0.00068,MORPHOUSDT
2026-04-27T02:00:00+00:00,1,-0.0013,PENGUUSDT
2026-04-27T03:30:00+00:00,1,0.0,LDOUSDT
2026-04-27T03:45:00+00:00,1,-0.0017,BSBUSDT
