utc,cluster_size,btc_ret15,symbols
2026-04-19T10:45:00+00:00,1,0.00114,KRW-W
2026-04-19T12:00:00+00:00,1,0.00047,KRW-MOVE
2026-04-19T13:15:00+00:00,1,0.00453,KRW-ZRO
2026-04-19T16:30:00+00:00,1,-0.00126,KRW-CRO
2026-04-19T20:45:00+00:00,1,0.00205,KRW-MOVE
2026-04-19T21:15:00+00:00,1,0.00075,KRW-ELF
2026-04-19T22:00:00+00:00,2,-0.00468,KRW-STX|KRW-W
2026-04-19T22:15:00+00:00,1,-0.00113,KRW-SUI
2026-04-20T01:45:00+00:00,1,-0.00175,KRW-AWE
2026-04-20T02:00:00+00:00,1,-0.00275,KRW-PLUME
2026-04-20T04:00:00+00:00,1,-0.0014,KRW-CHZ
2026-04-20T05:30:00+00:00,1,-0.00046,KRW-ZRO
2026-04-20T07:45:00+00:00,1,-0.00224,KRW-MMT
2026-04-20T08:45:00+00:00,1,-0.00069,KRW-CHZ
2026-04-20T10:00:00+00:00,1,0.00234,KRW-FLOCK
2026-04-20T13:15:00+00:00,1,-0.0015,KRW-ARB
2026-04-20T15:00:00+00:00,1,0.001,KRW-AAVE
2026-04-20T16:30:00+00:00,1,0.00212,KRW-ELF
2026-04-20T22:30:00+00:00,1,0.00039,KRW-CHZ
2026-04-21T00:15:00+00:00,1,-0.00021,KRW-CFG
2026-04-21T00:30:00+00:00,1,0.00052,KRW-ZKP
2026-04-21T03:00:00+00:00,1,-0.00083,KRW-ELF
2026-04-21T04:30:00+00:00,1,0.00026,KRW-BIRB
2026-04-21T06:00:00+00:00,1,-4e-05,KRW-AAVE
2026-04-21T10:30:00+00:00,1,3e-05,KRW-OPEN
2026-04-21T10:45:00+00:00,1,0.00178,KRW-FLOCK
2026-04-21T12:00:00+00:00,1,-0.00142,KRW-BIRB
2026-04-21T12:30:00+00:00,1,-0.00584,KRW-W
2026-04-21T13:00:00+00:00,1,0.00035,KRW-ATOM
2026-04-21T13:45:00+00:00,1,-0.00184,KRW-CHZ
2026-04-21T19:30:00+00:00,1,-0.00858,KRW-SAND
2026-04-22T01:00:00+00:00,1,0.00119,KRW-MET2
2026-04-22T01:30:00+00:00,1,-0.00023,KRW-BIRB
2026-04-22T02:15:00+00:00,1,0.00512,KRW-AVNT
2026-04-22T04:45:00+00:00,1,-0.00114,KRW-ATOM
2026-04-22T05:30:00+00:00,1,-0.0017,KRW-SEI
2026-04-22T05:45:00+00:00,1,-0.00187,KRW-MET2
2026-04-22T06:00:00+00:00,1,-0.00044,KRW-ENS
2026-04-22T06:45:00+00:00,1,-0.00027,KRW-AVNT
2026-04-22T07:30:00+00:00,1,0.00306,KRW-HOLO
